SAMPLE_NAME,POPULATION,SUPER,fatherID,motherID,sex
NA19375,LWK,AFR,0,0,1
NA19376,LWK,AFR,0,0,1
NA19377,LWK,AFR,0,0,2
NA19378,LWK,AFR,0,0,2
NA19379,LWK,AFR,0,0,2
NA19380,LWK,AFR,0,0,1
NA19383,LWK,AFR,0,0,1
NA19384,LWK,AFR,0,0,1
NA19385,LWK,AFR,0,0,1
NA19390,LWK,AFR,0,0,2
NA19391,LWK,AFR,0,0,2
NA21120,GIH,SAS,0,0,2
NA21122,GIH,SAS,0,0,2
NA21123,GIH,SAS,0,0,1
NA21125,GIH,SAS,0,0,2
NA21127,GIH,SAS,0,0,1
NA21128,GIH,SAS,0,0,1
NA21130,GIH,SAS,0,0,1
NA21133,GIH,SAS,0,0,1
NA21135,GIH,SAS,0,0,1
NA21137,GIH,SAS,0,0,2
NA21141,GIH,SAS,0,0,2
NA21142,GIH,SAS,0,0,2
NA21143,GIH,SAS,0,0,2
NA21144,GIH,SAS,0,0,2
NA19734,MXL,AMR,0,0,2
NA19735,MXL,AMR,0,0,1
NA19740,MXL,AMR,0,0,2
NA19741,MXL,AMR,0,0,1
NA19752,MXL,AMR,0,0,2
NA19764,MXL,AMR,0,0,2
NA19792,MXL,AMR,0,0,1
NA19922,ASW,AFR,0,0,1
NA18940,JPT,EAS,0,0,1
NA18942,JPT,EAS,0,0,2
NA18943,JPT,EAS,0,0,1
NA18944,JPT,EAS,0,0,1
NA18945,JPT,EAS,0,0,1
NA18947,JPT,EAS,0,0,2
NA18948,JPT,EAS,0,0,1
NA18949,JPT,EAS,0,0,2
NA18951,JPT,EAS,0,0,2
NA18952,JPT,EAS,0,0,1
NA18953,JPT,EAS,0,0,1
NA18956,JPT,EAS,0,0,2
NA18959,JPT,EAS,0,0,1
NA18960,JPT,EAS,0,0,1
NA18961,JPT,EAS,0,0,1
NA18964,JPT,EAS,0,0,2
NA18965,JPT,EAS,0,0,1
NA18967,JPT,EAS,0,0,1
NA18968,JPT,EAS,0,0,2
NA18969,JPT,EAS,0,0,2
NA18970,JPT,EAS,0,0,1
NA18971,JPT,EAS,0,0,1
NA19393,LWK,AFR,0,0,1
NA19394,LWK,AFR,0,0,1
NA19395,LWK,AFR,0,0,2
NA19397,LWK,AFR,0,0,1
NA19399,LWK,AFR,0,0,2
NA19401,LWK,AFR,0,0,2
NA19403,LWK,AFR,0,0,2
NA19404,LWK,AFR,0,0,2
NA19428,LWK,AFR,0,0,1
NA19429,LWK,AFR,0,0,1
NA19430,LWK,AFR,0,0,1
NA19431,LWK,AFR,0,0,2
NA19434,LWK,AFR,0,0,2
NA19435,LWK,AFR,0,0,2
NA19436,LWK,AFR,0,0,2
NA19437,LWK,AFR,0,0,2
NA19438,LWK,AFR,0,0,2
NA19439,LWK,AFR,0,0,2
NA19440,LWK,AFR,0,0,2
NA19443,LWK,AFR,0,0,1
NA19445,LWK,AFR,0,0,2
NA19446,LWK,AFR,0,0,2
NA19923,ASW,AFR,0,0,2
NA19984,ASW,AFR,0,0,1
NA20298,ASW,AFR,0,0,1
NA20339,ASW,AFR,0,0,2
NA20351,ASW,AFR,0,0,1
NA20412,ASW,AFR,0,0,2
NA20863,GIH,SAS,0,0,1
NA20864,GIH,SAS,0,0,1
NA20867,GIH,SAS,0,0,1
NA20868,GIH,SAS,0,0,2
NA20905,GIH,SAS,0,0,1
NA21087,GIH,SAS,0,0,1
NA21093,GIH,SAS,0,0,1
NA21095,GIH,SAS,0,0,1
NA21114,GIH,SAS,0,0,1
NA21124,GIH,SAS,0,0,1
NA21126,GIH,SAS,0,0,1
NA21129,GIH,SAS,0,0,1
HG00096,GBR,EUR,0,0,1
HG00097,GBR,EUR,0,0,2
HG00099,GBR,EUR,0,0,2
HG00100,GBR,EUR,0,0,2
NA18972,JPT,EAS,0,0,2
NA18973,JPT,EAS,0,0,2
NA18974,JPT,EAS,0,0,1
NA18975,JPT,EAS,0,0,2
NA18976,JPT,EAS,0,0,2
NA18980,JPT,EAS,0,0,2
NA18981,JPT,EAS,0,0,2
NA19005,JPT,EAS,0,0,1
NA19093,YRI,AFR,0,0,2
NA19098,YRI,AFR,0,0,1
NA19099,YRI,AFR,0,0,2
NA19102,YRI,AFR,0,0,2
NA19108,YRI,AFR,0,0,2
NA19114,YRI,AFR,0,0,2
NA19116,YRI,AFR,0,0,2
NA19119,YRI,AFR,0,0,1
NA19129,YRI,AFR,NA19128,NA19127,2
NA19131,YRI,AFR,0,0,2
NA19137,YRI,AFR,0,0,2
NA19138,YRI,AFR,0,0,1
NA19141,YRI,AFR,0,0,1
NA19143,YRI,AFR,0,0,2
NA19448,LWK,AFR,0,0,1
NA19449,LWK,AFR,0,0,2
NA19451,LWK,AFR,0,0,1
NA19452,LWK,AFR,0,0,1
NA19454,LWK,AFR,0,0,1
NA19455,LWK,AFR,0,0,1
NA19456,LWK,AFR,0,0,2
NA19457,LWK,AFR,0,0,2
NA19461,LWK,AFR,0,0,1
NA19462,LWK,AFR,0,0,2
NA19463,LWK,AFR,0,0,2
NA19466,LWK,AFR,0,0,1
NA19467,LWK,AFR,0,0,2
NA19468,LWK,AFR,0,0,2
NA19471,LWK,AFR,0,0,2
NA19472,LWK,AFR,0,0,2
NA19473,LWK,AFR,0,0,2
NA19474,LWK,AFR,0,0,2
NA19475,LWK,AFR,0,0,2
NA20502,TSI,EUR,0,0,2
NA20503,TSI,EUR,0,0,2
NA20504,TSI,EUR,0,0,2
HG00101,GBR,EUR,0,0,1
HG00102,GBR,EUR,0,0,2
HG00103,GBR,EUR,0,0,1
HG00105,GBR,EUR,0,0,1
HG00106,GBR,EUR,0,0,2
HG00107,GBR,EUR,0,0,1
HG00108,GBR,EUR,0,0,1
HG00109,GBR,EUR,0,0,1
HG00110,GBR,EUR,0,0,2
HG00111,GBR,EUR,0,0,2
HG00112,GBR,EUR,0,0,1
HG00113,GBR,EUR,0,0,1
HG00114,GBR,EUR,0,0,1
HG00115,GBR,EUR,0,0,1
HG00116,GBR,EUR,0,0,1
HG00117,GBR,EUR,0,0,1
HG00120,GBR,EUR,0,0,2
HG00127,GBR,EUR,0,0,2
HG00128,GBR,EUR,0,0,2
HG00129,GBR,EUR,0,0,1
HG00130,GBR,EUR,0,0,2
HG00131,GBR,EUR,0,0,1
NA19144,YRI,AFR,0,0,1
NA19147,YRI,AFR,0,0,2
NA19152,YRI,AFR,0,0,2
NA19153,YRI,AFR,0,0,1
NA19159,YRI,AFR,0,0,2
NA19160,YRI,AFR,0,0,1
NA19171,YRI,AFR,0,0,1
NA19172,YRI,AFR,0,0,2
NA19190,YRI,AFR,0,0,2
NA19200,YRI,AFR,0,0,1
NA19201,YRI,AFR,0,0,2
NA19204,YRI,AFR,0,0,2
NA19206,YRI,AFR,0,0,2
NA19207,YRI,AFR,0,0,1
NA19209,YRI,AFR,0,0,2
NA19210,YRI,AFR,0,0,1
NA19225,YRI,AFR,0,0,2
NA19238,YRI,AFR,0,0,2
NA19239,YRI,AFR,0,0,1
NA19257,YRI,AFR,0,0,2
NA07056,CEU,EUR,0,0,2
NA18614,CHB,EAS,0,0,2
NA20505,TSI,EUR,0,0,2
NA20506,TSI,EUR,0,0,2
NA20507,TSI,EUR,0,0,2
NA20508,TSI,EUR,0,0,2
NA20509,TSI,EUR,0,0,1
NA20510,TSI,EUR,0,0,1
NA20511,TSI,EUR,0,0,1
NA20512,TSI,EUR,0,0,1
NA20513,TSI,EUR,0,0,1
NA20514,TSI,EUR,0,0,2
NA20515,TSI,EUR,0,0,1
NA20516,TSI,EUR,0,0,1
NA20517,TSI,EUR,0,0,2
NA20518,TSI,EUR,0,0,1
NA20519,TSI,EUR,0,0,1
NA20520,TSI,EUR,0,0,1
NA20521,TSI,EUR,0,0,1
NA20522,TSI,EUR,0,0,2
NA20524,TSI,EUR,0,0,1
NA20525,TSI,EUR,0,0,1
NA20527,TSI,EUR,0,0,1
NA20528,TSI,EUR,0,0,1
HG00132,GBR,EUR,0,0,2
HG00133,GBR,EUR,0,0,2
HG00136,GBR,EUR,0,0,1
HG00137,GBR,EUR,0,0,2
HG00138,GBR,EUR,0,0,1
HG00139,GBR,EUR,0,0,1
HG00140,GBR,EUR,0,0,1
HG00141,GBR,EUR,0,0,1
HG00142,GBR,EUR,0,0,1
HG00143,GBR,EUR,0,0,1
HG00145,GBR,EUR,0,0,1
HG00146,GBR,EUR,0,0,2
HG00148,GBR,EUR,0,0,1
HG00149,GBR,EUR,0,0,1
HG00150,GBR,EUR,0,0,2
HG00151,GBR,EUR,0,0,1
HG00155,GBR,EUR,0,0,1
HG00157,GBR,EUR,0,0,1
HG00158,GBR,EUR,0,0,2
HG00160,GBR,EUR,0,0,1
HG00171,FIN,EUR,0,0,2
HG00173,FIN,EUR,0,0,2
NA06984,CEU,EUR,0,0,1
NA06989,CEU,EUR,0,0,2
NA11843,CEU,EUR,0,0,1
NA11892,CEU,EUR,0,0,2
NA11893,CEU,EUR,0,0,1
NA11930,CEU,EUR,0,0,1
NA12058,CEU,EUR,0,0,2
NA12272,CEU,EUR,0,0,1
NA12273,CEU,EUR,0,0,2
NA12275,CEU,EUR,0,0,2
NA12282,CEU,EUR,0,0,1
NA12283,CEU,EUR,0,0,2
NA12286,CEU,EUR,0,0,1
NA12340,CEU,EUR,0,0,1
NA12341,CEU,EUR,0,0,2
NA12342,CEU,EUR,0,0,1
NA12347,CEU,EUR,0,0,1
NA12348,CEU,EUR,0,0,2
NA12383,CEU,EUR,0,0,2
NA12399,CEU,EUR,0,0,1
NA12400,CEU,EUR,0,0,2
NA12413,CEU,EUR,0,0,1
NA20529,TSI,EUR,0,0,2
NA20530,TSI,EUR,0,0,2
NA20531,TSI,EUR,0,0,2
NA20532,TSI,EUR,0,0,1
NA20533,TSI,EUR,0,0,2
NA20534,TSI,EUR,0,0,1
NA20535,TSI,EUR,0,0,2
NA20536,TSI,EUR,0,0,1
NA20538,TSI,EUR,0,0,1
NA20539,TSI,EUR,0,0,1
NA20540,TSI,EUR,0,0,2
NA20541,TSI,EUR,0,0,2
NA20542,TSI,EUR,0,0,2
NA20543,TSI,EUR,0,0,1
NA20544,TSI,EUR,0,0,1
NA20581,TSI,EUR,0,0,1
NA20582,TSI,EUR,0,0,2
NA20585,TSI,EUR,0,0,2
NA20586,TSI,EUR,0,0,1
NA20587,TSI,EUR,0,0,2
NA20588,TSI,EUR,0,0,1
NA20589,TSI,EUR,0,0,2
HG00174,FIN,EUR,0,0,2
HG00176,FIN,EUR,0,0,2
HG00177,FIN,EUR,0,0,2
HG00178,FIN,EUR,0,0,2
HG00179,FIN,EUR,0,0,2
HG00180,FIN,EUR,0,0,2
HG00181,FIN,EUR,0,0,1
HG00182,FIN,EUR,0,0,1
HG00183,FIN,EUR,0,0,1
HG00185,FIN,EUR,0,0,1
HG00186,FIN,EUR,0,0,1
HG00187,FIN,EUR,0,0,1
HG00188,FIN,EUR,0,0,1
HG00189,FIN,EUR,0,0,1
HG00190,FIN,EUR,0,0,1
HG00233,GBR,EUR,0,0,2
HG00234,GBR,EUR,0,0,1
HG00235,GBR,EUR,0,0,2
HG00238,GBR,EUR,0,0,2
HG00240,GBR,EUR,0,0,2
HG00255,GBR,EUR,0,0,2
HG00442,CHS,EAS,0,0,1
HG01171,PUR,AMR,0,0,2
HG01173,PUR,AMR,0,0,1
HG01174,PUR,AMR,0,0,2
HG01176,PUR,AMR,0,0,1
HG01177,PUR,AMR,0,0,2
HG01182,PUR,AMR,0,0,1
HG01183,PUR,AMR,0,0,2
HG01187,PUR,AMR,0,0,1
HG01188,PUR,AMR,0,0,2
HG01190,PUR,AMR,0,0,1
HG01191,PUR,AMR,0,0,2
HG01197,PUR,AMR,0,0,1
HG01198,PUR,AMR,0,0,2
HG01204,PUR,AMR,0,0,1
HG01205,PUR,AMR,0,0,2
HG01241,PUR,AMR,0,0,1
HG01242,PUR,AMR,0,0,2
HG01247,PUR,AMR,0,0,1
HG01248,PUR,AMR,0,0,2
HG01250,CLM,AMR,0,0,1
HG01251,CLM,AMR,0,0,2
HG01253,CLM,AMR,0,0,1
HG02215,GBR,EUR,0,0,2
HG01882,ACB,AFR,0,0,1
HG01883,ACB,AFR,0,0,2
HG01885,ACB,AFR,0,0,1
HG01956,ACB,AFR,0,0,2
HG02014,ACB,AFR,0,0,1
HG01886,ACB,AFR,0,0,2
HG01890,ACB,AFR,0,0,1
HG01889,ACB,AFR,0,0,2
HG02009,ACB,AFR,0,0,1
HG02010,ACB,AFR,0,0,2
HG02285,PEL,AMR,0,0,1
HG02286,PEL,AMR,0,0,2
HG02301,PEL,AMR,0,0,2
HG01783,IBS,EUR,0,0,1
HG01784,IBS,EUR,0,0,2
HG02221,IBS,EUR,0,0,1
HG02220,IBS,EUR,0,0,2
HG02236,IBS,EUR,0,0,1
HG02235,IBS,EUR,0,0,2
HG02113,KHV,EAS,0,0,2
HG02141,KHV,EAS,0,0,1
HG03212,MSL,AFR,0,0,2
HG03055,MSL,AFR,0,0,2
HG03376,MSL,AFR,0,0,1
HG03380,MSL,AFR,0,0,2
HG03385,MSL,AFR,0,0,1
HG03388,MSL,AFR,0,0,1
HG03401,MSL,AFR,0,0,2
HG03419,MSL,AFR,0,0,2
HG03061,MSL,AFR,0,0,2
HG03428,MSL,AFR,0,0,2
HG03433,MSL,AFR,0,0,1
HG03439,MSL,AFR,0,0,1
HG03442,MSL,AFR,0,0,1
HG03445,MSL,AFR,0,0,1
HG03446,MSL,AFR,0,0,2
HG03460,MSL,AFR,0,0,1
HG03461,MSL,AFR,0,0,2
HG03478,MSL,AFR,0,0,1
HG03479,MSL,AFR,0,0,2
HG03066,MSL,AFR,0,0,1
HG03069,MSL,AFR,0,0,1
HG03072,MSL,AFR,0,0,1
HG03753,STU,SAS,0,0,1
HG03760,STU,SAS,0,0,2
HG03836,STU,SAS,0,0,2
HG03837,STU,SAS,0,0,1
HG03846,STU,SAS,0,0,1
HG03848,STU,SAS,0,0,1
HG03851,STU,SAS,0,0,1
HG03856,STU,SAS,0,0,1
HG03895,STU,SAS,0,0,2
HG03890,STU,SAS,0,0,1
HG04033,STU,SAS,0,0,1
HG03947,STU,SAS,0,0,2
HG03953,STU,SAS,0,0,1
HG03949,STU,SAS,0,0,2
HG04035,STU,SAS,0,0,2
HG04029,STU,SAS,0,0,2
HG04042,STU,SAS,0,0,2
HG04099,STU,SAS,0,0,2
HG03977,ITU,SAS,0,0,2
HG03780,ITU,SAS,0,0,2
HG03718,ITU,SAS,0,0,1
HG04018,ITU,SAS,0,0,2
HG01254,CLM,AMR,0,0,2
HG01256,CLM,AMR,0,0,1
HG01257,CLM,AMR,0,0,2
HG01259,CLM,AMR,0,0,1
HG01260,CLM,AMR,0,0,2
HG01271,CLM,AMR,0,0,1
HG01272,CLM,AMR,0,0,2
HG01275,CLM,AMR,0,0,2
HG01277,CLM,AMR,0,0,1
HG01334,GBR,EUR,0,0,1
HG01344,CLM,AMR,0,0,1
HG01345,CLM,AMR,0,0,2
HG01348,CLM,AMR,0,0,2
HG01356,CLM,AMR,0,0,1
HG01357,CLM,AMR,0,0,2
HG02122,KHV,EAS,0,0,1
HG02121,KHV,EAS,0,0,2
HG02128,KHV,EAS,0,0,1
HG02127,KHV,EAS,0,0,2
HG02373,CDX,EAS,0,0,1
HG02394,CDX,EAS,0,0,1
HG02396,CDX,EAS,0,0,1
HG02397,CDX,EAS,0,0,1
HG01914,ACB,AFR,0,0,1
HG01915,ACB,AFR,0,0,2
HG01986,ACB,AFR,0,0,1
HG01958,ACB,AFR,0,0,2
HG01990,ACB,AFR,0,0,1
HG02012,ACB,AFR,0,0,2
HG02053,ACB,AFR,0,0,1
HG02054,ACB,AFR,0,0,2
HG02255,ACB,AFR,0,0,1
HG02256,ACB,AFR,0,0,2
HG02314,ACB,AFR,0,0,1
HG02315,ACB,AFR,0,0,2
HG02281,ACB,AFR,0,0,1
HG02282,ACB,AFR,0,0,2
HG03410,MSL,AFR,0,0,2
HG03436,MSL,AFR,0,0,1
HG03437,MSL,AFR,0,0,2
HG03449,MSL,AFR,0,0,2
HG03458,MSL,AFR,0,0,2
HG03476,MSL,AFR,0,0,2
HG03484,MSL,AFR,0,0,1
HG03485,MSL,AFR,0,0,2
HG03547,MSL,AFR,0,0,1
HG03548,MSL,AFR,0,0,2
HG03556,MSL,AFR,0,0,1
HG03557,MSL,AFR,0,0,2
HG03391,MSL,AFR,0,0,1
HG03455,MSL,AFR,0,0,2
HG03559,MSL,AFR,0,0,1
HG03563,MSL,AFR,0,0,2
HG03565,MSL,AFR,0,0,1
HG03571,MSL,AFR,0,0,1
HG03572,MSL,AFR,0,0,2
HG03575,MSL,AFR,0,0,2
HG03577,MSL,AFR,0,0,1
HG03578,MSL,AFR,0,0,2
HG03742,ITU,SAS,0,0,1
HG03779,ITU,SAS,0,0,1
HG03777,ITU,SAS,0,0,1
HG03785,ITU,SAS,0,0,1
HG03790,ITU,SAS,0,0,1
HG03792,ITU,SAS,0,0,1
HG03782,ITU,SAS,0,0,2
HG03873,ITU,SAS,0,0,2
HG03861,ITU,SAS,0,0,2
HG03863,ITU,SAS,0,0,2
HG03872,ITU,SAS,0,0,1
HG03870,ITU,SAS,0,0,1
HG03867,ITU,SAS,0,0,1
HG03963,ITU,SAS,0,0,1
HG03960,ITU,SAS,0,0,1
HG03968,ITU,SAS,0,0,2
HG03720,ITU,SAS,0,0,1
HG04019,ITU,SAS,0,0,1
HG04025,ITU,SAS,0,0,2
HG04020,ITU,SAS,0,0,1
HG04014,ITU,SAS,0,0,2
HG04015,ITU,SAS,0,0,1
HG01377,CLM,AMR,0,0,1
HG01378,CLM,AMR,0,0,2
HG01383,CLM,AMR,0,0,1
HG01384,CLM,AMR,0,0,2
HG01341,CLM,AMR,0,0,1
HG01342,CLM,AMR,0,0,2
HG01350,CLM,AMR,0,0,1
HG01351,CLM,AMR,0,0,2
HG01353,CLM,AMR,0,0,1
HG01354,CLM,AMR,0,0,2
HG01359,CLM,AMR,0,0,1
HG01360,CLM,AMR,0,0,2
HG01365,CLM,AMR,0,0,1
HG01366,CLM,AMR,0,0,2
HG01374,CLM,AMR,0,0,1
HG01375,CLM,AMR,0,0,2
HG01389,CLM,AMR,0,0,1
HG01390,CLM,AMR,0,0,2
HG01437,CLM,AMR,0,0,1
HG01438,CLM,AMR,0,0,2
HG01440,CLM,AMR,0,0,1
HG01441,CLM,AMR,0,0,2
HG02317,ACB,AFR,0,0,1
HG02318,ACB,AFR,0,0,2
HG01912,ACB,AFR,0,0,1
HG01894,ACB,AFR,0,0,2
HG01982,PEL,AMR,0,0,1
HG02146,PEL,AMR,0,0,1
HG02147,PEL,AMR,0,0,2
HG02259,PEL,AMR,0,0,1
HG02260,PEL,AMR,0,0,2
HG02271,PEL,AMR,0,0,1
HG02272,PEL,AMR,0,0,2
HG02277,PEL,AMR,0,0,1
HG02278,PEL,AMR,0,0,2
HG02291,PEL,AMR,0,0,1
HG02292,PEL,AMR,0,0,2
HG02299,PEL,AMR,0,0,1
HG02298,PEL,AMR,0,0,2
HG01699,IBS,EUR,0,0,1
HG01697,IBS,EUR,0,0,2
HG02224,IBS,EUR,0,0,1
HG02223,IBS,EUR,0,0,2
HG02231,IBS,EUR,0,0,1
HG03583,MSL,AFR,0,0,2
HG03515,ESN,AFR,0,0,1
HG03514,ESN,AFR,0,0,2
HG03268,ESN,AFR,0,0,1
HG03267,ESN,AFR,0,0,2
HG03271,ESN,AFR,0,0,1
HG03270,ESN,AFR,0,0,2
HG03280,ESN,AFR,0,0,1
HG03279,ESN,AFR,0,0,2
HG03291,ESN,AFR,0,0,2
HG03295,ESN,AFR,0,0,1
HG03294,ESN,AFR,0,0,2
HG03301,ESN,AFR,0,0,1
HG03300,ESN,AFR,0,0,2
HG03367,ESN,AFR,0,0,1
HG03366,ESN,AFR,0,0,2
HG02947,ESN,AFR,0,0,1
HG02946,ESN,AFR,0,0,2
HG02971,ESN,AFR,0,0,1
HG02970,ESN,AFR,0,0,2
HG02953,ESN,AFR,0,0,1
HG02952,ESN,AFR,0,0,2
HG04022,ITU,SAS,0,0,1
HG04063,ITU,SAS,0,0,2
HG04093,ITU,SAS,0,0,1
HG04118,ITU,SAS,0,0,2
HG02568,GWD,AFR,0,0,2
HG02759,GWD,AFR,0,0,1
HG02760,GWD,AFR,0,0,2
HG02763,GWD,AFR,0,0,2
HG02870,GWD,AFR,0,0,2
HG02878,GWD,AFR,0,0,1
HG02879,GWD,AFR,0,0,2
HG02881,GWD,AFR,0,0,1
HG02882,GWD,AFR,0,0,2
HG02982,GWD,AFR,0,0,1
HG02983,GWD,AFR,0,0,2
HG03054,MSL,AFR,0,0,1
HG03060,MSL,AFR,0,0,1
HG03063,MSL,AFR,0,0,1
HG03064,MSL,AFR,0,0,2
HG03073,MSL,AFR,0,0,2
HG03074,MSL,AFR,0,0,1
HG03077,MSL,AFR,0,0,1
HG01455,CLM,AMR,0,0,1
HG01456,CLM,AMR,0,0,2
HG01461,CLM,AMR,0,0,1
HG01462,CLM,AMR,0,0,2
HG01464,CLM,AMR,0,0,1
HG01465,CLM,AMR,0,0,2
HG01488,CLM,AMR,0,0,1
HG01489,CLM,AMR,0,0,2
HG01491,CLM,AMR,0,0,1
HG01492,CLM,AMR,0,0,2
HG01494,CLM,AMR,0,0,1
HG01495,CLM,AMR,0,0,2
HG01497,CLM,AMR,0,0,1
HG01498,CLM,AMR,0,0,2
HG01500,IBS,EUR,0,0,1
HG01501,IBS,EUR,0,0,2
HG01503,IBS,EUR,0,0,1
HG01504,IBS,EUR,0,0,2
HG01506,IBS,EUR,0,0,1
HG01507,IBS,EUR,0,0,2
HG01509,IBS,EUR,0,0,1
HG01510,IBS,EUR,0,0,2
HG02230,IBS,EUR,0,0,2
HG02238,IBS,EUR,0,0,1
HG02239,IBS,EUR,0,0,2
HG02032,KHV,EAS,0,0,1
HG02031,KHV,EAS,0,0,2
HG02050,KHV,EAS,0,0,1
HG02250,CDX,EAS,0,0,1
HG02351,CDX,EAS,0,0,1
HG02353,CDX,EAS,0,0,1
HG02355,CDX,EAS,0,0,1
HG02356,CDX,EAS,0,0,1
HG02360,CDX,EAS,0,0,1
HG02364,CDX,EAS,0,0,1
HG02367,CDX,EAS,0,0,1
HG02371,CDX,EAS,0,0,1
HG02374,CDX,EAS,0,0,1
HG02375,CDX,EAS,0,0,1
HG02379,CDX,EAS,0,0,1
HG02380,CDX,EAS,0,0,1
HG02382,CDX,EAS,0,0,1
HG02383,CDX,EAS,0,0,1
HG02384,CDX,EAS,0,0,1
HG02977,ESN,AFR,0,0,1
HG02976,ESN,AFR,0,0,2
HG03118,ESN,AFR,0,0,1
HG03117,ESN,AFR,0,0,2
HG03130,ESN,AFR,0,0,1
HG03129,ESN,AFR,0,0,2
HG03160,ESN,AFR,0,0,1
HG03159,ESN,AFR,0,0,2
HG03163,ESN,AFR,0,0,1
HG03162,ESN,AFR,0,0,2
HG03169,ESN,AFR,0,0,1
HG03168,ESN,AFR,0,0,2
HG03172,ESN,AFR,0,0,1
HG03196,ESN,AFR,0,0,1
HG03195,ESN,AFR,0,0,2
HG03199,ESN,AFR,0,0,1
HG03198,ESN,AFR,0,0,2
HG03343,ESN,AFR,0,0,1
HG03342,ESN,AFR,0,0,2
HG03370,ESN,AFR,0,0,1
HG03369,ESN,AFR,0,0,2
HG03234,PJL,SAS,0,0,1
HG03079,MSL,AFR,0,0,2
HG03082,MSL,AFR,0,0,2
HG03086,MSL,AFR,0,0,2
HG03091,MSL,AFR,0,0,2
HG03095,MSL,AFR,0,0,2
HG03224,MSL,AFR,0,0,1
HG03225,MSL,AFR,0,0,1
HG03378,MSL,AFR,0,0,2
HG03382,MSL,AFR,0,0,1
HG03394,MSL,AFR,0,0,1
HG03432,MSL,AFR,0,0,1
HG03457,MSL,AFR,0,0,1
HG03558,MSL,AFR,0,0,2
HG03567,MSL,AFR,0,0,2
HG02938,ESN,AFR,0,0,1
HG02941,ESN,AFR,0,0,1
HG02968,ESN,AFR,0,0,1
HG02979,ESN,AFR,0,0,2
HG02981,ESN,AFR,0,0,1
HG03103,ESN,AFR,0,0,1
HG03105,ESN,AFR,0,0,2
HG03111,ESN,AFR,0,0,2
HG01512,IBS,EUR,0,0,1
HG01513,IBS,EUR,0,0,2
HG01515,IBS,EUR,0,0,1
HG01516,IBS,EUR,0,0,2
HG01518,IBS,EUR,0,0,1
HG01519,IBS,EUR,0,0,2
HG01521,IBS,EUR,0,0,1
HG01522,IBS,EUR,0,0,2
HG01524,IBS,EUR,0,0,1
HG01525,IBS,EUR,0,0,2
HG01527,IBS,EUR,0,0,1
HG01528,IBS,EUR,0,0,2
HG01530,IBS,EUR,0,0,1
HG01531,IBS,EUR,0,0,2
HG01536,IBS,EUR,0,0,1
HG01537,IBS,EUR,0,0,2
HG01550,CLM,AMR,0,0,1
HG01551,CLM,AMR,0,0,2
HG01602,IBS,EUR,0,0,2
HG01603,IBS,EUR,0,0,1
HG01605,IBS,EUR,0,0,2
HG01606,IBS,EUR,0,0,1
HG02385,CDX,EAS,0,0,1
HG02386,CDX,EAS,0,0,1
HG02389,CDX,EAS,0,0,1
HG02390,CDX,EAS,0,0,1
HG02391,CDX,EAS,0,0,1
HG02392,CDX,EAS,0,0,1
HG02395,CDX,EAS,0,0,1
HG02398,CDX,EAS,0,0,1
HG02399,CDX,EAS,0,0,1
HG02401,CDX,EAS,0,0,1
HG02402,CDX,EAS,0,0,1
HG02406,CDX,EAS,0,0,1
HG02407,CDX,EAS,0,0,1
HG02409,CDX,EAS,0,0,1
HG02233,IBS,EUR,0,0,1
HG02232,IBS,EUR,0,0,2
HG01879,ACB,AFR,0,0,1
HG01880,ACB,AFR,0,0,2
HG02013,ACB,AFR,0,0,1
HG01896,ACB,AFR,0,0,2
HG01985,ACB,AFR,0,0,2
HG01988,ACB,AFR,0,0,1
HG03235,PJL,SAS,0,0,2
HG03488,PJL,SAS,0,0,2
HG03490,PJL,SAS,0,0,1
HG03491,PJL,SAS,0,0,2
HG03619,PJL,SAS,0,0,2
HG03634,PJL,SAS,0,0,2
HG03667,PJL,SAS,0,0,1
HG03668,PJL,SAS,0,0,2
HG03015,PJL,SAS,0,0,1
HG03016,PJL,SAS,0,0,2
HG03702,PJL,SAS,0,0,1
HG03703,PJL,SAS,0,0,2
HG03708,PJL,SAS,0,0,1
HG03709,PJL,SAS,0,0,2
HG03006,BEB,SAS,0,0,1
HG03007,BEB,SAS,0,0,2
HG03615,BEB,SAS,0,0,1
HG03616,BEB,SAS,0,0,2
HG03793,BEB,SAS,0,0,2
HG03796,BEB,SAS,0,0,2
